E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy
9000,1.06978354268581000000,1.07000689353840000000,1.07027133045699000000,1.07314541320510000000,1.07608465242037000000,1.08576819428370000000
10000,1.06581602101411000000,1.06601646232665000000,1.06608782149649000000,1.06872307566014000000,1.07141590169828000000,1.07919290185302000000
12500,1.05612232379775000000,1.05606823371830000000,1.05612489580255000000,1.05823040795527000000,1.05981749462134000000,1.06582389826850000000
15000,1.04859326824555000000,1.04853956377220000000,1.04846660713665000000,1.05031207981557000000,1.05135672193877000000,1.05586201686616000000
17500,1.04198879612749000000,1.04203840321630000000,1.04192208920602000000,1.04356964105929000000,1.04426370397171000000,1.04770193522647000000
20000,1.03719662634290000000,1.03727918037125000000,1.03703977749251000000,1.03857740570038000000,1.03900304298014000000,1.04184689911983000000
25000,1.02931349370970000000,1.02933305113761000000,1.02910305115031000000,1.03047624856388000000,1.03063054052248000000,1.03236857902329000000
30000,1.02379203298968000000,1.02376950465403000000,1.02348724667332000000,1.02480309049209000000,1.02483665803022000000,1.02589282527537000000
35000,1.01782792956484000000,1.01777714101518000000,1.01751017013443000000,1.01872907971956000000,1.01857602674592000000,1.01942776887929000000
40000,1.01639047540885000000,1.01636848703754000000,1.01606962852269000000,1.01727897346034000000,1.01707702390273000000,1.01759983583087000000
45000,1.01236920650137000000,1.01233054284393000000,1.01200827589785000000,1.01318750235114000000,1.01289092257066000000,1.01323913879385000000
50000,1.01130651744642000000,1.01127209409201000000,1.01094933977437000000,1.01213693029558000000,1.01180121433374000000,1.01197777285736000000
