E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
150,1.42622830376409000000,1.42626654762497000000,1.42651513272069000000,1.42758596082530000000,1.42840820383420000000,1.42158167466728000000,1.32071349159867000000,0.08524747809254690000
160,1.41108153963982000000,1.41115217229563000000,1.41219400396885000000,1.41466614692226000000,1.41761506030239000000,1.41408342751181000000,1.31885294931385000000,0.08787938454437410000
170,1.39517751063575000000,1.39563615964011000000,1.39724143115539000000,1.40084510190397000000,1.40572643773615000000,1.40520226744544000000,1.31537258387620000000,0.09098285820878660000
180,1.38108846962776000000,1.38166831651421000000,1.38383511277411000000,1.38844336960854000000,1.39497427664542000000,1.39706477726236000000,1.31219350404015000000,0.09393977334374890000
190,1.36867938976268000000,1.36907896668365000000,1.37173329908724000000,1.37718466993762000000,1.38521902016999000000,1.38962863690499000000,1.30928513458128000000,0.09686886212669360000
200,1.35718453076311000000,1.35772033199910000000,1.36080118910605000000,1.36696290331993000000,1.37633942494976000000,1.38290299009064000000,1.30664507917834000000,0.09962554231692300000
225,1.33106876015563000000,1.33211446710757000000,1.33594872593134000000,1.34373343324021000000,1.35570096835684000000,1.36662279652152000000,1.29981374125882000000,0.10732555206384100000
240,1.31834585019634000000,1.31963697483539000000,1.32383312991233000000,1.33233303378611000000,1.34556706133644000000,1.35880108888677000000,1.29704229365191000000,0.11188670934621500000
250,1.31118464351008000000,1.31231250017872000000,1.31672139442887000000,1.32553918292918000000,1.33958612507501000000,1.35414572934295000000,1.29498452045138000000,0.11476454265568000000
275,1.29233257648085000000,1.29370886250479000000,1.29847998738778000000,1.30811398955537000000,1.32371189782671000000,1.34114485412996000000,1.28893773762179000000,0.12256285805204900000
300,1.27711107132803000000,1.27860612851351000000,1.28367271119763000000,1.29388893529839000000,1.31058374053623000000,1.33035171887754000000,1.28400494612773000000,0.13009489275631500000
325,1.26442764580738000000,1.26594647781436000000,1.27118644823842000000,1.28181827228725000000,1.29943672356817000000,1.32100413806723000000,1.27991973227853000000,0.13755302071176600000
350,1.25246698604166000000,1.25407693075071000000,1.25946674564621000000,1.27038637062931000000,1.28858574560113000000,1.31182494748823000000,1.27535619994853000000,0.14492302285254900000
375,1.24257224656152000000,1.24426131847089000000,1.24971832002425000000,1.26089218034781000000,1.27953693565513000000,1.30402847834105000000,1.27161129054191000000,0.15214640045208700000
400,1.23419067185064000000,1.23588890462925000000,1.24146881233037000000,1.25268927890329000000,1.27173374649193000000,1.29726788934166000000,1.26845858327605000000,0.15931849510134500000
425,1.22576652652930000000,1.22747411862569000000,1.23305225280725000000,1.24432236064346000000,1.26356123159619000000,1.28997198935377000000,1.26452886711748000000,0.16639915782009500000
450,1.21851773769274000000,1.22034210702127000000,1.22592253084971000000,1.23719069434945000000,1.25656120398471000000,1.28365845430550000000,1.26117578522745000000,0.17318094140663700000
500,1.20724716163230000000,1.20898344455423000000,1.21443344372583000000,1.22567105263720000000,1.24515600542771000000,1.27327414274670000000,1.25586308344627000000,0.18648160882311100000
511,1.20440699307566000000,1.20629477833127000000,1.21181655020391000000,1.22295448321198000000,1.24244586597609000000,1.27071545017877000000,1.25462208087474000000,0.18916080207470800000
550,1.19622180955863000000,1.19793370778896000000,1.20333277143844000000,1.21435037286950000000,1.23370799132009000000,1.26250299745066000000,1.24937844435151000000,0.19931762780140300000
600,1.18854659569025000000,1.19012056231952000000,1.19536711775041000000,1.20614273544308000000,1.22531284182518000000,1.25445140352598000000,1.24480581315688000000,0.21156936565660400000
662,1.17904014399966000000,1.18062200753139000000,1.18573547336652000000,1.19614634265676000000,1.21490797989357000000,1.24415406146860000000,1.23815769505762000000,0.22586068231202300000
700,1.17569299205637000000,1.17730056228509000000,1.18229800886567000000,1.19250258510016000000,1.21102458990932000000,1.24027537863624000000,1.23625645306444000000,0.23513510369338500000
