E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy
9000,1.05615395516849000000,1.05582172286763000000,1.05460294386246000000,1.05228513519463000000,1.04715914095701000000,1.02392826724184000000
10000,1.05204381112305000000,1.05156488349128000000,1.05027629651456000000,1.04781105874856000000,1.04285387829535000000,1.01926135432987000000
12500,1.04215486567083000000,1.04168038312268000000,1.04019318718033000000,1.03724547016653000000,1.03153417230279000000,1.00883397298244000000
15000,1.03454296385073000000,1.03401372186222000000,1.03263126092393000000,1.02941656658000000000,1.02296098237902000000,1.00013993478527000000
17500,1.02788073020176000000,1.02736470664450000000,1.02590994463207000000,1.02240889694387000000,1.01574119290331000000,0.99276567472783600000
20000,1.02299526844504000000,1.02253585054909000000,1.02093990566889000000,1.01741240566260000000,1.01037675674699000000,0.98735084870356700000
25000,1.01496627592293000000,1.01444450960311000000,1.01287763960573000000,1.00922782542756000000,1.00172186156949000000,0.97819886115868800000
30000,1.00931682429702000000,1.00869691883491000000,1.00712891556268000000,1.00333091181305000000,0.99561969231981200000,0.97158366684777800000
35000,1.00325161581094000000,1.00264215321496000000,1.00097870888615000000,0.99716961643262400000,0.98922137260455900000,0.96523638638655700000
40000,1.00165826663150000000,1.00104259223484000000,0.99933669220358900000,0.99537883604401100000,0.98732790023840600000,0.96276083778505400000
45000,0.99752236204305600000,0.99692307535268200000,0.99517046867135100000,0.99118816294384500000,0.98300506333645900000,0.95822075425170900000
50000,0.99631514660216600000,0.99571273790004300000,0.99390999751349700000,0.98988251661547300000,0.98154424803451500000,0.95659059561647400000
